Wall time,Step,Value
1598663516.667818,360774,1.0
1598663656.8009505,361121,1.0
1598663920.7988791,361845,1.0
1598663956.1509156,361928,0.96875
1598664115.7508094,362358,1.0
1598664264.1643038,362748,1.0
1598664382.5302718,363061,1.0
1598664871.1827965,364334,1.0
1598665033.3319557,364770,1.0
1598665039.7468657,364798,1.0
1598665257.441604,365367,1.0
1598665821.942894,366868,1.0
1598666369.0929167,368316,1.0
1598666525.8508775,368721,1.0
1598666661.4483984,369093,1.0
1598666897.3906388,369705,1.0
1598667008.4227421,370001,1.0
1598667320.2997146,370837,1.0
1598667431.6804233,371125,1.0
1598667473.3675833,371252,1.0
1598667498.4969788,371315,0.96875
1598667653.5374177,371727,1.0
1598668445.6473892,373827,0.96875
1598668648.99115,374387,1.0
1598668830.083619,374855,1.0
1598668908.4185987,375051,1.0
1598668983.9448001,375257,1.0
1598669096.5794468,375549,1.0
1598669205.2743907,375828,1.0
1598669443.9035769,376487,1.0
1598669624.497007,376965,1.0
1598669690.5551538,377111,1.0
1598669699.128703,377135,1.0
1598669747.2515776,377282,1.0
1598669778.5512743,377371,1.0
1598669997.8198626,377925,1.0
1598670107.8768728,378231,1.0
1598670506.8409283,379286,1.0
1598670681.3144932,379734,1.0
1598670717.7445042,379828,1.0
1598670848.2923818,380186,1.0
1598670921.4273665,380381,1.0
1598671025.5866725,380647,1.0
1598671404.7354045,381652,1.0
1598671627.5178473,382208,1.0
1598671790.3955631,382635,1.0
1598671894.3809693,382911,1.0
1598671973.1639807,383120,1.0
1598672238.474902,383825,1.0
1598672241.1956944,383836,1.0
1598672610.976193,384810,1.0
1598672652.5519314,384923,1.0
1598672885.6079867,385507,1.0
1598672974.7069736,385754,1.0
1598673120.9674888,386119,1.0
1598673172.742486,386271,1.0
1598673241.587234,386456,1.0
1598673622.9075968,387499,1.0
1598673682.9387953,387646,1.0
1598673711.9957542,387709,1.0
1598673807.262134,387982,1.0
1598673848.0727081,388096,1.0
1598674000.0997736,388491,1.0
1598674135.075148,388838,1.0
1598674259.220006,389174,1.0
1598674437.267652,389615,1.0
1598675039.5144942,391221,1.0
1598675426.3986344,392243,1.0
1598675781.4547215,393192,1.0
1598675872.1880307,393407,1.0
1598676228.5593464,394358,1.0
1598676443.5001166,394913,1.0
1598676539.5637465,395173,1.0
1598676709.9558456,395606,1.0
1598676870.342124,396040,1.0
1598676913.6040788,396158,1.0
1598677180.8635721,396859,1.0
1598677430.0480828,397510,1.0
1598677525.3355634,397770,1.0
1598677589.5654223,397935,1.0
1598677688.1764357,398196,1.0
1598677702.9069006,398206,1.0
1598678099.234956,399282,1.0
1598678455.435542,400198,1.0
1598678574.2821698,400502,1.0
1598678626.4796128,400634,1.0
1598679569.7028782,403110,1.0
1598679628.2268934,403291,1.0
1598679682.2672608,403408,0.96875
1598679699.528088,403485,1.0
1598679990.877599,404201,1.0
1598680203.5035303,404778,1.0
1598680595.5197139,405759,1.0
1598680629.4165099,405847,1.0
1598681273.4269018,407517,1.0
1598681438.4727793,407949,1.0
1598681666.6099093,408550,1.0
1598682222.8797216,409969,1.0
1598682691.61089,411181,1.0
1598682722.1280882,411257,1.0
1598683035.488968,412076,1.0
1598683268.6518297,412682,1.0
1598683452.1126726,413145,1.0
1598683636.560459,413610,1.0
1598683763.4975846,413963,1.0
1598684159.884941,415016,1.0
1598684206.0691376,415136,1.0
1598684396.4550135,415636,1.0
1598684578.431733,416105,1.0
1598684968.137064,417162,1.0
1598685122.5698707,417564,1.0
1598685216.5017476,417800,1.0
1598685228.879732,417808,1.0
1598685418.0404043,418311,1.0
1598685745.1376626,419187,1.0
1598686012.8080976,419868,1.0
1598686266.8954437,420524,1.0
1598686629.5585425,421497,1.0
1598686649.110875,421531,1.0
1598686924.890179,422248,1.0
1598686997.7764096,422438,1.0
1598687013.1246545,422493,0.96875
1598687027.1214585,422506,1.0
1598687384.4116628,423467,1.0
1598687491.7273026,423752,1.0
1598687976.5051131,425031,1.0
1598687977.534903,425036,1.0
1598688202.414725,425618,1.0
1598688529.960956,426498,1.0
1598688561.3899956,426575,1.0
1598688748.2105453,427056,1.0
1598688905.6674938,427486,1.0
1598689173.6593688,428172,1.0
1598689208.7754543,428259,1.0
1598689324.4347007,428574,1.0
1598689768.8090034,430076,1.0
1598689785.053988,430131,1.0
1598689798.3185613,430195,1.0
1598689871.8151066,430488,1.0
1598689937.640096,430731,1.0
1598690224.1521626,431874,1.0
1598690275.309808,432072,1.0
1598690303.3931801,432192,1.0
